transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
94,3/13/2023,22:39:00,5,Female,47,Beauty,2,500,250,1000
95,11/6/2022,19:57:00,103,Female,32,Clothing,2,30,7.5,60
96,11/22/2023,14:10:00,62,Female,44,Clothing,2,300,84,600
97,11/26/2022,18:17:00,112,Female,51,Beauty,2,500,555,1000
98,4/9/2023,19:41:00,1,Female,55,Beauty,2,50,19.5,100
99,11/19/2023,15:12:00,71,Female,50,Electronics,4,300,132,1200
100,2/8/2022,19:34:00,21,Male,41,Electronics,1,30,9.3,30
101,1/8/2022,8:46:00,24,Male,32,Clothing,2,300,135,600
102,4/17/2023,21:34:00,5,Female,47,Beauty,2,25,7.25,50
103,11/12/2022,10:05:00,33,Female,59,Clothing,1,25,10.75,25
104,6/9/2022,22:58:00,129,Female,34,Beauty,2,500,190,1000
105,6/18/2023,18:05:00,82,Female,22,Electronics,1,500,230,500
106,5/17/2023,18:58:00,1,Female,46,Clothing,1,50,15,50
107,10/6/2022,9:18:00,75,Female,21,Clothing,4,300,78,1200
108,1/24/2023,9:38:00,5,Female,27,Beauty,3,25,13.5,75
109,9/6/2023,19:57:00,94,Female,34,Electronics,4,500,560,2000
110,11/18/2022,17:28:00,149,Male,27,Clothing,3,300,99,900
111,4/15/2023,9:45:00,5,Female,34,Electronics,3,500,130,1500
112,12/25/2023,18:44:00,57,Male,37,Clothing,3,500,165,1500
113,10/8/2022,19:14:00,72,Female,41,Electronics,2,25,26.25,50
114,4/17/2022,20:57:00,92,Female,22,Beauty,4,25,9.25,100
115,9/2/2022,19:21:00,67,Male,51,Clothing,3,500,255,1500
116,6/22/2023,20:04:00,58,Female,23,Clothing,1,30,15,30
117,8/4/2023,11:38:00,8,Male,19,Electronics,2,500,230,1000
118,3/13/2023,20:07:00,3,Female,30,Electronics,4,500,270,2000
119,9/1/2023,9:11:00,127,Female,60,Clothing,3,50,27.5,150
120,3/31/2023,19:35:00,4,Male,60,Beauty,1,50,12.5,50
121,10/7/2023,18:57:00,110,Female,28,Electronics,4,50,54.5,200
122,12/1/2023,19:02:00,1,Male,64,Electronics,4,30,35.4,120
123,8/11/2023,19:00:00,3,Female,40,Electronics,2,30,11.7,60
124,12/24/2022,21:17:00,83,Male,33,Clothing,4,500,515,2000
125,9/28/2022,18:48:00,137,Male,48,Clothing,2,50,19,100
126,11/1/2022,18:16:00,63,Female,28,Clothing,3,30,28.8,90
127,5/20/2023,19:37:00,40,Female,33,Clothing,2,25,7.5,50
128,12/21/2022,22:22:00,77,Male,25,Beauty,1,500,180,500
129,4/17/2023,17:42:00,1,Female,21,Beauty,2,300,75,600
130,6/19/2023,6:21:00,114,Female,57,Clothing,1,500,125,500
131,9/29/2023,22:32:00,44,Female,21,Beauty,2,300,375,600
132,11/22/2023,20:34:00,86,Male,42,Electronics,4,50,62,200
133,6/23/2022,9:01:00,70,Male,20,Electronics,3,300,87,900
134,8/25/2022,9:03:00,132,Male,49,Electronics,1,50,16,50
135,4/18/2022,7:22:00,104,Male,20,Clothing,2,25,13,50
136,12/26/2023,8:59:00,25,Male,44,Electronics,2,300,141,600
137,9/10/2022,20:42:00,66,Male,46,Beauty,2,500,125,1000
138,4/27/2023,10:56:00,127,Male,49,Clothing,4,50,26.5,200
139,9/15/2023,14:03:00,113,Male,36,Beauty,4,500,230,2000
140,7/7/2022,20:20:00,61,Male,38,Electronics,1,30,14.4,30
141,11/1/2022,19:26:00,54,Female,22,Electronics,1,50,59,50
142,4/8/2022,10:05:00,61,Male,35,Electronics,4,300,138,1200
143,2/11/2023,22:20:00,118,Female,45,Clothing,1,50,27.5,50
144,3/26/2022,22:18:00,119,Female,59,Beauty,3,500,255,1500
145,11/6/2022,19:21:00,64,Female,39,Clothing,3,25,27.5,75
146,11/10/2022,22:01:00,74,Male,38,Clothing,4,50,49,200
147,11/12/2022,20:30:00,101,Male,23,Electronics,1,300,297,300
148,7/3/2023,20:39:00,5,Male,18,Clothing,2,30,9.9,60
149,10/14/2023,17:52:00,73,Male,22,Clothing,3,25,27,75
150,4/13/2022,8:25:00,89,Female,,Electronics,4,30,16.2,120
151,10/12/2023,15:49:00,108,Male,29,Clothing,1,50,18,50
152,6/16/2022,11:58:00,120,Male,43,Electronics,4,500,210,2000
153,11/19/2023,15:52:00,62,Male,63,Electronics,2,500,195,1000
154,12/24/2022,17:47:00,24,Male,51,Electronics,3,300,321,900
155,7/18/2023,18:05:00,3,Male,31,Electronics,4,500,150,2000
156,12/2/2022,19:34:00,60,Female,43,Clothing,4,25,7,100
157,5/15/2022,21:59:00,98,Male,62,Electronics,4,500,170,2000
158,1/21/2022,11:38:00,141,Female,44,Electronics,2,300,132,600
159,11/10/2022,21:30:00,42,Male,26,Clothing,4,50,23.5,200
160,7/20/2022,17:08:00,127,Female,43,Clothing,2,50,26.5,100
161,7/1/2023,6:58:00,104,Male,64,Beauty,2,500,195,1000
162,4/11/2023,19:37:00,118,Male,39,Clothing,2,30,9,60
163,10/31/2022,9:38:00,144,Female,64,Clothing,3,50,23,150
164,2/28/2023,18:26:00,3,Female,47,Beauty,3,500,185,1500
165,9/24/2022,19:01:00,75,Female,60,Clothing,4,300,318,1200
166,1/28/2023,11:42:00,32,Male,34,Clothing,4,500,225,2000
167,9/21/2023,20:58:00,73,Female,43,Clothing,3,50,49,150
168,4/29/2022,9:20:00,138,Male,53,Clothing,1,300,102,300
169,11/28/2022,18:47:00,73,Male,18,Beauty,3,500,145,1500
170,9/21/2023,20:46:00,125,Female,25,Clothing,2,25,12.5,50
171,10/14/2022,20:10:00,109,Female,52,Clothing,3,300,126,900
172,10/21/2022,18:09:00,52,Male,32,Beauty,2,25,28,50
173,12/19/2023,17:30:00,85,Male,64,Electronics,4,30,14.1,120
174,11/15/2023,6:07:00,2,Female,39,Beauty,1,300,126,300
175,1/25/2023,10:02:00,23,Female,31,Electronics,4,25,12.5,100
176,5/26/2023,18:15:00,53,Female,43,Beauty,2,50,25.5,100
177,3/24/2023,8:40:00,30,Male,45,Beauty,2,50,26.5,100
178,10/11/2023,17:51:00,142,Male,40,Clothing,2,30,34.2,60
179,10/7/2023,20:42:00,121,Male,31,Electronics,1,300,375,300
180,11/5/2022,10:47:00,117,Male,41,Clothing,3,300,129,900
181,11/6/2023,19:59:00,79,Male,19,Electronics,4,300,327,1200
182,6/21/2023,19:27:00,27,Male,62,Beauty,4,30,10.2,120
183,9/1/2022,19:22:00,28,Female,43,Beauty,3,300,375,900
184,2/13/2022,6:44:00,128,Male,31,Electronics,4,50,17,200
185,6/27/2022,9:48:00,57,Male,24,Clothing,1,25,7,25
186,3/31/2022,18:15:00,92,Male,20,Clothing,4,50,23.5,200
187,2/20/2022,20:19:00,88,Female,64,Clothing,2,50,21,100
188,8/31/2023,18:50:00,3,Male,40,Clothing,3,25,8.5,75
189,1/2/2022,9:44:00,143,Male,63,Beauty,1,50,14.5,50
190,1/25/2023,17:56:00,2,Female,60,Beauty,3,30,10.5,90
191,12/22/2023,21:24:00,71,Male,64,Beauty,1,25,28.25,25
192,11/8/2022,8:05:00,134,Male,62,Beauty,2,50,13,100
193,3/27/2022,10:40:00,55,Male,35,Beauty,3,500,180,1500
194,10/11/2023,19:27:00,116,Male,55,Clothing,4,50,51.5,200
195,8/14/2022,11:51:00,10,Male,52,Clothing,1,30,9.3,30
196,12/29/2023,19:14:00,43,Female,32,Clothing,3,300,312,900
197,4/3/2022,11:57:00,14,Female,42,Clothing,4,50,25.5,200
198,5/21/2022,11:42:00,30,Female,54,Beauty,3,300,114,900
199,10/26/2023,21:34:00,53,Male,45,Beauty,3,500,135,1500
200,10/9/2022,22:29:00,130,Male,27,Beauty,3,50,60,150
201,10/13/2022,19:08:00,105,Male,56,Electronics,1,25,29.75,25
202,1/25/2023,6:24:00,61,Female,34,Clothing,4,300,120,1200
203,3/12/2023,21:33:00,4,Male,56,Clothing,2,500,175,1000
204,9/10/2022,21:04:00,101,Male,39,Beauty,1,25,31.25,25
205,11/22/2022,17:20:00,88,Female,43,Clothing,1,25,25.5,25
206,9/2/2022,18:18:00,31,Male,61,Clothing,1,25,11.75,25
207,8/6/2023,8:34:00,3,Female,42,Beauty,2,25,10.25,50
208,10/21/2023,20:56:00,144,Female,34,Electronics,4,50,57,200
209,9/3/2022,12:22:00,61,Female,30,Electronics,4,50,14,200
210,10/7/2023,8:50:00,2,Male,37,Electronics,4,50,19,200
211,9/12/2022,14:02:00,54,Male,42,Beauty,3,500,235,1500
212,10/12/2023,18:13:00,105,Male,21,Clothing,3,500,215,1500
213,8/13/2023,20:48:00,113,Male,27,Beauty,3,500,275,1500
214,11/5/2022,16:31:00,53,Male,20,Beauty,2,30,8.1,60
215,10/3/2022,21:20:00,101,Male,58,Clothing,3,500,145,1500
216,11/4/2022,17:28:00,141,Male,62,Electronics,2,50,26.5,100
217,5/2/2022,17:01:00,17,Female,35,Electronics,4,50,26.5,200
218,11/24/2022,20:39:00,144,Male,64,Beauty,3,30,33.9,90
219,9/16/2023,22:34:00,79,Female,53,Electronics,3,30,10.2,90
220,5/7/2022,6:44:00,138,Male,64,Beauty,1,500,140,500
221,11/27/2023,21:01:00,3,Male,39,Beauty,2,300,111,600
222,1/7/2023,18:56:00,4,Male,51,Clothing,4,30,10.5,120
223,1/15/2022,11:18:00,61,Female,64,Clothing,1,25,12,25
224,11/11/2022,21:32:00,99,Female,25,Clothing,1,50,24,50
225,3/5/2022,7:37:00,85,Female,57,Beauty,4,25,12.75,100
226,9/23/2022,17:02:00,69,Female,61,Clothing,1,50,57.5,50
227,11/15/2023,19:19:00,87,Male,36,Electronics,2,50,50.5,100
228,4/3/2023,20:26:00,4,Female,59,Electronics,2,30,10.8,60
229,11/9/2023,19:23:00,92,Male,58,Beauty,3,30,36.9,90
230,3/26/2023,17:44:00,5,Male,54,Beauty,1,25,12.5,25
231,7/9/2022,7:02:00,50,Female,23,Clothing,3,50,26.5,150
232,8/12/2022,7:14:00,150,Female,43,Beauty,1,25,12.75,25
233,9/3/2022,13:09:00,81,Female,51,Beauty,2,300,132,600
234,12/9/2023,17:42:00,64,Female,62,Electronics,2,25,13.75,50
235,3/10/2022,10:13:00,132,Female,23,Electronics,2,500,275,1000
236,4/1/2023,22:18:00,5,Female,54,Clothing,1,25,6.5,25
237,4/11/2022,8:54:00,105,Female,50,Beauty,2,500,165,1000
238,5/10/2022,11:52:00,20,Female,39,Beauty,1,500,150,500
239,9/19/2022,19:34:00,1,Male,38,Electronics,3,500,165,1500
240,11/5/2022,11:49:00,95,Female,23,Beauty,1,300,123,300
241,12/19/2023,20:21:00,108,Female,23,Electronics,3,25,26.75,75
242,10/1/2023,18:28:00,1,Male,21,Clothing,1,25,8,25
243,6/24/2023,18:02:00,5,Female,47,Electronics,3,300,156,900
244,9/14/2023,13:57:00,101,Male,28,Beauty,2,50,20.5,100
245,12/1/2023,21:41:00,75,Male,47,Clothing,3,30,36,90
246,12/7/2023,20:05:00,4,Female,48,Electronics,2,25,13.25,50
247,12/23/2022,17:56:00,82,Male,41,Electronics,2,30,31.5,60
248,7/2/2022,7:11:00,5,Male,26,Clothing,3,300,126,900
249,9/28/2022,20:17:00,109,Male,20,Clothing,1,50,53.5,50
250,12/24/2022,23:00:00,91,Male,48,Electronics,1,50,60.5,50
251,9/15/2022,21:00:00,141,Female,57,Beauty,4,50,62.5,200
252,5/5/2023,17:37:00,1,Male,54,Electronics,1,300,84,300
253,9/30/2022,21:26:00,66,Female,53,Clothing,4,500,525,2000
254,12/14/2022,22:45:00,104,Male,41,Electronics,1,500,165,500
255,10/15/2023,11:44:00,19,Male,48,Clothing,1,30,14.7,30
256,1/9/2022,8:05:00,3,Male,23,Clothing,2,500,270,1000
257,12/10/2022,8:49:00,130,Male,19,Beauty,4,500,165,2000
258,12/29/2023,17:40:00,109,Female,37,Clothing,1,50,22,50
259,3/11/2023,20:26:00,93,Female,45,Clothing,4,50,22.5,200
260,1/19/2023,21:09:00,107,Male,28,Beauty,2,30,10.5,60
261,2/6/2022,17:48:00,16,Male,21,Clothing,2,25,8.25,50
262,9/15/2023,20:33:00,30,Female,32,Beauty,4,30,12.6,120
263,5/4/2022,21:48:00,133,Male,23,Beauty,2,30,34.8,60
264,12/26/2022,11:03:00,111,Male,47,Clothing,3,300,150,900
265,11/24/2022,12:12:00,80,Male,55,Clothing,3,300,132,900
266,9/12/2022,18:26:00,66,Female,19,Electronics,2,30,14.4,60
267,11/19/2022,17:53:00,84,Female,32,Beauty,3,30,12,90
268,4/14/2022,8:26:00,93,Female,28,Electronics,1,30,8.7,30
269,9/19/2022,11:31:00,87,Male,25,Clothing,4,500,250,2000
270,12/17/2022,17:46:00,84,Male,43,Electronics,1,300,117,300
271,9/12/2023,18:23:00,44,Female,62,Beauty,4,30,9.3,120
272,6/10/2022,11:57:00,112,Female,61,Electronics,2,50,27.5,100
273,9/26/2023,20:24:00,1,Female,22,Beauty,1,50,14.5,50
274,4/14/2023,7:12:00,4,Female,23,Clothing,2,500,150,1000
275,3/5/2023,11:34:00,2,Male,43,Clothing,2,500,260,1000
276,10/18/2023,21:27:00,40,Female,21,Beauty,4,25,27.5,100
277,7/3/2023,22:10:00,139,Male,36,Clothing,4,25,12.25,100
278,12/22/2023,11:42:00,71,Female,37,Clothing,4,25,13.5,100
279,8/10/2023,17:29:00,38,Male,50,Clothing,1,500,210,500
280,11/17/2023,9:35:00,76,Female,37,Clothing,3,500,240,1500
281,9/18/2023,20:09:00,4,Female,29,Beauty,4,500,275,2000
282,10/5/2023,17:39:00,10,Female,64,Electronics,4,50,56,200
283,6/1/2023,20:08:00,3,Female,18,Electronics,1,500,165,500
284,11/12/2022,9:17:00,129,Male,43,Clothing,4,50,20.5,200
285,12/1/2023,18:14:00,107,Female,31,Electronics,1,25,13.5,25
286,10/5/2022,22:56:00,92,Male,55,Electronics,2,25,27.75,50
287,8/26/2022,11:07:00,88,Male,54,Clothing,4,25,10,100
288,5/2/2022,9:59:00,27,Male,28,Clothing,4,30,12,120
289,9/9/2023,20:29:00,107,Male,53,Electronics,2,30,8.1,60
290,12/8/2023,21:39:00,86,Female,30,Beauty,2,300,342,600
291,11/22/2022,8:29:00,15,Male,60,Clothing,2,300,126,600
292,10/10/2022,6:33:00,111,Male,20,Beauty,4,300,141,1200
293,5/27/2023,19:04:00,4,Male,50,Electronics,3,30,9.6,90
294,10/9/2023,9:24:00,89,Female,23,Clothing,3,30,15.3,90
295,2/1/2022,20:23:00,80,Female,27,Beauty,3,300,105,900
296,12/31/2022,22:44:00,73,Female,22,Clothing,4,300,369,1200
297,9/12/2022,21:09:00,70,Female,40,Electronics,2,500,595,1000
298,10/5/2023,19:05:00,3,Male,27,Beauty,4,300,84,1200
299,1/25/2023,20:03:00,76,Male,61,Electronics,2,500,230,1000
300,1/8/2022,9:41:00,138,Female,19,Electronics,4,50,26.5,200
301,7/30/2023,10:58:00,104,Male,30,Clothing,4,30,9.6,120
302,2/9/2023,17:51:00,26,Male,57,Beauty,2,300,135,600
303,4/22/2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90
304,3/23/2023,18:35:00,59,Female,37,Electronics,2,30,15.6,60
305,3/22/2023,22:09:00,4,Female,18,Beauty,1,30,14.4,30
306,1/4/2022,22:05:00,148,Male,54,Electronics,1,50,26.5,50
307,11/11/2022,22:54:00,32,Female,26,Electronics,2,25,8.5,50
308,3/31/2022,19:12:00,130,Female,34,Beauty,4,300,126,1200
309,10/12/2023,15:39:00,78,Female,26,Beauty,1,25,9,25
310,11/10/2022,21:34:00,76,Female,28,Beauty,1,25,31,25
311,11/20/2023,21:01:00,61,Female,32,Beauty,4,25,9.75,100
312,10/31/2022,18:08:00,18,Male,41,Clothing,4,30,28.5,120
313,12/16/2023,10:03:00,11,Female,55,Beauty,3,500,140,1500
314,10/15/2023,7:37:00,1,Male,52,Clothing,4,30,7.8,120
315,7/3/2023,18:53:00,122,Male,47,Clothing,2,30,15,60
316,2/1/2023,17:25:00,3,Female,48,Clothing,2,25,13.75,50
317,5/4/2022,7:54:00,117,Male,22,Electronics,3,30,12,90
318,10/22/2023,21:26:00,57,Male,61,Clothing,1,25,29.25,25
319,11/7/2022,18:50:00,145,Male,31,Clothing,1,500,500,500
320,4/20/2022,8:35:00,57,Female,28,Electronics,4,300,159,1200
321,9/24/2023,19:53:00,30,Female,26,Electronics,2,25,9.5,50
322,10/19/2022,6:11:00,13,Male,51,Electronics,1,500,125,500
323,1/21/2022,8:22:00,97,Female,29,Beauty,3,300,150,900
324,11/15/2022,17:52:00,54,Female,52,Electronics,3,50,49,150
325,9/16/2023,22:02:00,6,Female,52,Electronics,2,25,31.25,50
326,11/23/2023,19:51:00,108,Female,18,Clothing,3,25,24.25,75
327,9/13/2023,18:30:00,107,Male,57,Electronics,3,50,56,150
328,10/29/2023,6:56:00,9,Male,39,Beauty,2,50,27,100
329,10/27/2022,7:42:00,52,Female,46,Electronics,4,25,8,100
330,10/11/2022,20:18:00,116,Female,25,Beauty,4,50,55,200
331,8/16/2022,8:33:00,28,Male,28,Electronics,3,30,10.2,90
332,4/24/2023,11:28:00,138,Male,58,Electronics,4,300,105,1200
333,10/6/2022,8:15:00,21,Female,54,Electronics,4,300,99,1200
334,10/16/2022,20:37:00,103,Male,31,Electronics,3,300,360,900
335,2/2/2022,9:23:00,2,Female,47,Beauty,4,30,10.8,120
336,11/4/2023,13:05:00,67,Female,52,Beauty,3,50,25,150
337,8/22/2023,17:56:00,1,Male,38,Clothing,1,500,275,500
338,2/5/2022,21:26:00,44,Male,54,Beauty,2,50,20,100
339,8/18/2022,10:27:00,33,Female,22,Electronics,2,25,10.25,50
340,9/19/2023,22:59:00,54,Female,36,Clothing,4,300,294,1200
341,1/20/2023,17:06:00,5,Male,31,Clothing,4,50,18.5,200
342,11/5/2023,17:24:00,85,Female,43,Clothing,4,500,500,2000
343,11/9/2022,18:44:00,68,Male,21,Electronics,2,25,30,50
344,7/17/2022,9:47:00,69,Female,42,Beauty,1,30,7.5,30
345,12/7/2022,18:56:00,104,Male,62,Electronics,1,30,13.5,30
346,9/5/2022,6:54:00,38,Male,59,Clothing,2,500,215,1000
347,3/26/2022,19:31:00,26,Male,42,Electronics,1,25,7,25
348,10/17/2022,20:20:00,83,Female,35,Electronics,2,300,147,600
349,12/4/2023,17:05:00,78,Female,57,Beauty,1,50,48.5,50
350,11/20/2022,17:41:00,61,Male,25,Beauty,3,25,28.5,75
351,11/11/2023,22:16:00,38,Female,56,Clothing,3,30,36.6,90
352,7/28/2023,17:55:00,54,Male,57,Electronics,2,500,175,1000
353,3/18/2023,21:35:00,5,Male,31,Electronics,1,500,270,500
354,12/16/2023,7:58:00,5,Female,49,Beauty,4,50,24.5,200
355,9/23/2022,13:42:00,96,Female,55,Electronics,1,500,260,500
356,8/27/2023,18:35:00,71,Male,50,Electronics,3,500,255,1500
357,5/18/2023,18:57:00,4,Female,40,Electronics,3,25,7.5,75
358,10/12/2023,18:32:00,4,Female,32,Beauty,1,300,132,300
359,12/15/2022,21:49:00,122,Male,50,Clothing,1,50,22.5,50
360,9/9/2022,9:04:00,26,Male,42,Clothing,4,25,10.5,100
361,9/12/2022,16:37:00,112,Female,34,Electronics,4,300,81,1200
362,9/27/2023,22:43:00,101,Male,50,Clothing,1,25,10.25,25
363,5/23/2022,22:51:00,92,Male,64,Beauty,1,25,13.5,25
364,6/7/2022,19:06:00,98,Female,19,Beauty,1,500,200,500
365,2/23/2023,22:12:00,151,Male,31,Clothing,1,300,93,300
366,10/29/2022,9:32:00,116,Male,57,Clothing,2,50,17.5,100
367,12/30/2022,7:03:00,123,Female,57,Electronics,1,50,18,50
368,1/31/2023,21:11:00,90,Female,56,Clothing,4,300,132,1200
369,12/13/2023,19:42:00,111,Male,23,Electronics,3,500,215,1500
370,10/24/2023,21:04:00,61,Male,23,Electronics,2,30,34.8,60
371,12/18/2022,10:01:00,32,Female,20,Beauty,1,25,13,25
372,6/19/2022,11:45:00,27,Female,24,Beauty,3,500,140,1500
373,9/23/2022,22:19:00,78,Female,25,Beauty,2,300,333,600
374,10/27/2023,17:45:00,4,Female,59,Beauty,3,25,7.75,75
375,9/22/2023,17:32:00,25,Male,32,Clothing,1,50,52,50
376,1/29/2023,18:21:00,4,Female,64,Beauty,1,30,12,30
377,9/13/2022,8:30:00,141,Female,46,Clothing,4,50,18,200
378,11/3/2022,18:16:00,81,Male,50,Beauty,1,300,165,300
379,6/1/2022,7:28:00,76,Female,47,Clothing,1,25,8.5,25
380,8/30/2023,22:26:00,2,Male,56,Electronics,2,300,102,600
381,1/30/2022,19:05:00,63,Female,44,Clothing,4,25,12.25,100
382,7/14/2023,21:20:00,29,Female,53,Clothing,2,500,245,1000
383,3/24/2023,8:53:00,64,Female,46,Beauty,3,30,7.8,90
384,4/10/2022,19:53:00,127,Male,55,Clothing,1,500,145,500
385,11/20/2022,19:06:00,127,Male,50,Electronics,3,500,525,1500
